Time,X,Y,Z,VX,VY,VZ,Roll,Pitch,Yaw,RollRate,PitchRate,YawRate
2.9900,0.0000,0.0000,0.7980,0.0000,0.0000,1.1305,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.0000,0.0000,0.0000,0.8099,0.0000,0.0000,1.1872,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.0100,0.0000,0.0000,0.8223,0.0000,0.0000,1.2431,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.0200,0.0000,-0.0000,0.8353,0.0021,-0.0011,1.2982,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.0300,0.0001,-0.0000,0.8488,0.0070,-0.0035,1.3524,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.0400,0.0002,-0.0001,0.8629,0.0152,-0.0076,1.4056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.0500,0.0005,-0.0003,0.8774,0.0273,-0.0136,1.4577,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.0600,0.0010,-0.0005,0.8925,0.0437,-0.0218,1.5083,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.0700,0.0016,-0.0008,0.9081,0.0651,-0.0324,1.5572,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.0800,0.0025,-0.0013,0.9241,0.0919,-0.0457,1.6041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.0900,0.0038,-0.0019,0.9406,0.1246,-0.0617,1.6485,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.1000,0.0054,-0.0027,0.9575,0.1637,-0.0807,1.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.1100,0.0075,-0.0037,0.9748,0.2094,-0.1027,1.7280,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.1200,0.0101,-0.0050,0.9924,0.2622,-0.1277,1.7618,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.1300,0.0133,-0.0065,1.0103,0.3223,-0.1556,1.7908,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.1400,0.0172,-0.0084,1.0285,0.3899,-0.1863,1.8142,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
